uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288167,SBT,1,,43,Direito Penal e Processual Penal,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288167,SBT,1,,44,Direitos Humanos e Minorias,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/321387,SBT,1,,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/321721,SBT,1,,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/321721,SBT,1,,48,Meio Ambiente e Desenvolvimento Sustentável,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/323413,SBT,1,,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/330999,SBT,1,,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/405990,SBT,1,,42,Direito Civil e Processual Civil,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292643,SBT-A,1,,39,Esporte e Lazer,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/280285,EMS,1,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/280285,EMS,1,2005.0,51,Estrutura Fundiária,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/276598,PLV,1,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/276598,PLV,1,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/276598,PLV,1,2005.0,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/281801,EMS,2,2005.0,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/293917,PRN,2,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/293917,PRN,2,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/293917,PRN,2,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
