idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:54:28,Artigo 17,74693,Rodrigo Maia,DEM,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:39,Sim,204432,Marina Santos,SOLIDARIEDADE,PI,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:40,Sim,204411,Filipe Barros,PSL,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:41,Sim,92776,Stefano Aguiar,PSD,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:41,Sim,178983,Marcio Alvino,PL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:41,Sim,178928,Christiane de Souza Yared,PL,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:42,Sim,193726,Paulo Eduardo Martins,PSC,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Obstrução,141439,Chico D`Angelo,PDT,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Sim,72442,Felipe Carreras,PSB,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Sim,73696,Angela Amin,PP,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Sim,204522,Marco Bertaiolli,PSD,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Sim,141422,Efraim Filho,DEM,PB,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:43,Sim,178909,Hélio Leite,DEM,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:44,Sim,160553,Antonio Brito,PSD,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:44,Sim,178833,Alexandre Serfiotis,PSD,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:44,Sim,204475,Ottaci Nascimento,SOLIDARIEDADE,RR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:44,Sim,178910,Joaquim Passarinho,PSD,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:44,Sim,178931,Luciano Ducci,PSB,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:45,Sim,178839,Jéssica Sales,MDB,AC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:45,Sim,66179,Norma Ayub,DEM,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:45,Sim,92102,Leur Lomanto Júnior,DEM,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:46,Sim,92699,Fernando Monteiro,PP,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:46,Sim,204517,Zé Vitor,PL,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:47,Sim,73466,Rubens Bueno,CIDADANIA,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:47,Sim,160558,Paulo Freire Costa,PL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:47,Sim,160589,Bruna Furlan,PSDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:48,Sim,204435,Jesus Sérgio,PDT,AC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:48,Sim,160531,Jhonatan de Jesus,REPUBLICANOS,RR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:48,Sim,204412,Dr. Zacharias Calil,DEM,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:48,Sim,204447,Flordelis,PSD,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:49,Sim,74554,José Rocha,PL,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:49,Sim,81297,Dra. Soraya Manato,PSL,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:50,Sim,204468,Joenia Wapichana,REDE,RR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:50,Sim,178981,Herculano Passos,MDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:50,Sim,204473,General Girão,PSL,RN,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:51,Sim,204413,Alcides Rodrigues,PATRI,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:51,Sim,160655,Ricardo Izar,PP,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:51,Sim,204351,Dr. Luiz Ovando,PSL,MS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:52,Sim,178832,Leandre,PV,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:52,Obstrução,76874,Marcelo Freixo,PSOL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:53,Sim,112437,João Marcelo Souza,MDB,MA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:53,Sim,204554,Abílio Santana,PL,BA,Finanças Públicas e Orçamento
